TIME,Cyclist,M/Cycle,Car,Taxi,Van,OGV1,OGV2,CDB,BEB,OB,TOT,PCU,Route
7:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
7:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
7:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
7:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
8:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
8:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
8:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
8:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
9:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
9:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
9:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
9:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
10:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
10:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
10:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
10:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
11:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
11:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
11:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
11:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
12:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
12:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
12:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
12:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
13:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
13:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
13:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
13:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
14:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
14:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
14:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
14:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
15:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
15:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
15:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
15:45,0,0,0,0,0,0,0,0,0,0,0,0,A => A
16:00,0,0,0,0,0,0,0,0,0,0,0,0,A => A
16:15,0,0,0,0,0,0,0,0,0,0,0,0,A => A
16:30,0,0,0,0,0,0,0,0,0,0,0,0,A => A
